path,category,reason,width,height,mode,file_size_kb
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621720292.jpg,HEALTHY,exact_duplicate_of:1711621594342.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621931246.jpg,HEALTHY,exact_duplicate_of:1711621860159.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621878665.jpg,HEALTHY,exact_duplicate_of:1711621122855.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711621977783.jpg,HEALTHY,exact_duplicate_of:1711621948174.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622009242.jpg,HEALTHY,exact_duplicate_of:1711621961346.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622112190.jpg,HEALTHY,exact_duplicate_of:1711622059707.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622124092.jpg,HEALTHY,exact_duplicate_of:1711622064078.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622201289.jpg,HEALTHY,exact_duplicate_of:1711622081681.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622220603.jpg,HEALTHY,exact_duplicate_of:1711622108347.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622299962.jpg,HEALTHY,exact_duplicate_of:1711622141690.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622527089.jpg,HEALTHY,exact_duplicate_of:1711622510157.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622545865.jpg,HEALTHY,exact_duplicate_of:1711622467061.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622561817.jpg,HEALTHY,exact_duplicate_of:1711622481185.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622494579.jpg,HEALTHY,exact_duplicate_of:1711622574011.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622603796.jpg,HEALTHY,exact_duplicate_of:1711622580989.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622590325.jpg,HEALTHY,exact_duplicate_of:1711622510157.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622680529.jpg,HEALTHY,exact_duplicate_of:1711622627022.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622704388.jpg,HEALTHY,exact_duplicate_of:1711622451928.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622815415.jpg,HEALTHY,exact_duplicate_of:1711622755860.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711622961963.jpg,HEALTHY,exact_duplicate_of:1711622755860.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711623487298.jpg,HEALTHY,exact_duplicate_of:1711623404466.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711623499007.jpg,HEALTHY,exact_duplicate_of:1711623419600.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711623511325.jpg,HEALTHY,exact_duplicate_of:1711623433194.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711623545188.jpg,HEALTHY,exact_duplicate_of:1711623483521.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711623583254.jpg,HEALTHY,exact_duplicate_of:1711623540207.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711623603044.jpg,HEALTHY,exact_duplicate_of:1711623567564.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624753343.jpg,HEALTHY,exact_duplicate_of:1711623779766.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624627795.jpg,HEALTHY,exact_duplicate_of:1711624603901.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624814995.jpg,HEALTHY,exact_duplicate_of:1711623809807.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624831631.jpg,HEALTHY,exact_duplicate_of:1711623826974.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624921769.jpg,HEALTHY,exact_duplicate_of:1711624881877.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624934073.jpg,HEALTHY,exact_duplicate_of:1711624946950.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624981907.jpg,HEALTHY,exact_duplicate_of:1711624893373.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711624986059.jpg,HEALTHY,exact_duplicate_of:1711624905262.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625029554.jpg,HEALTHY,exact_duplicate_of:1711624945446.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625063729.jpg,HEALTHY,exact_duplicate_of:1711624926809.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625085165.jpg,HEALTHY,exact_duplicate_of:1711625065414.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625150018.jpg,HEALTHY,exact_duplicate_of:1711625113507.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625632709.jpg,HEALTHY,exact_duplicate_of:1711625613812.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625758007.jpg,HEALTHY,exact_duplicate_of:1711625701065.jpg,,,,
